time [s],position [m],elevation xf [m]
0.1755,-6.02912081225591e-06,5.94876859034889e-07
0.176,-6.09130502690294e-06,6.02879764974448e-07
0.1765,-6.15389399567159e-06,6.10950829797418e-07
0.177,-6.21688809038012e-06,6.19090316561197e-07
0.1775,-6.28028766255777e-06,6.27298487307966e-07
0.178,-6.34409304331384e-06,6.35575603043771e-07
0.1785,-6.40830454321256e-06,6.43921923736628e-07
0.179,-6.4729224521466e-06,6.52337708297788e-07
0.1795,-6.53794703921191e-06,6.60823214579205e-07
0.18,-6.60337855258319e-06,6.69378699362679e-07
0.1805,-6.66921721938946e-06,6.78004418345771e-07
0.181,-6.73546324559494e-06,6.86700626138057e-07
0.1815,-6.8021168158713e-06,6.95467576250447e-07
0.182,-6.86917809348253e-06,7.04305521082585e-07
0.1825,-6.9366472201612e-06,7.1321471191436e-07
0.183,-7.00452431599123e-06,7.22195398902475e-07
0.1835,-7.07280947928816e-06,7.31247831065196e-07
0.184,-7.14150278648621e-06,7.40372256276151e-07
0.1845,-7.2106042920154e-06,7.49568921254109e-07
0.185,-7.28011402819065e-06,7.58838071558633e-07
0.1855,-7.35003200509822e-06,7.68179951576016e-07
0.186,-7.42035821047734e-06,7.77594804511506e-07
0.1865,-7.49109260961569e-06,7.87082872386704e-07
0.187,-7.56223514522995e-06,7.96644396025139e-07
0.1875,-7.63378573736084e-06,8.06279615045796e-07
0.188,-7.70574428326108e-06,8.15988767856383e-07
0.1885,-7.77811065729025e-06,8.25772091649283e-07
0.189,-7.85088471080292e-06,8.35629822381075e-07
0.1895,-7.92406627204775e-06,8.4556219477828e-07
0.19,-7.99765514605615e-06,8.55569442322094e-07
0.1905,-8.07165111454511e-06,8.65651797245887e-07
0.191,-8.14605393581089e-06,8.75809490522842e-07
0.1915,-8.22086334462523e-06,8.86042751861447e-07
0.192,-8.29607905213871e-06,8.96351809699341e-07
0.1925,-8.37170074577755e-06,9.06736891194541e-07
0.193,-8.44772808914981e-06,9.17198222216484e-07
0.1935,-8.52416072193888e-06,9.27736027342501e-07
0.194,-8.60099825982037e-06,9.38350529849836e-07
0.1945,-8.67824029435738e-06,9.49041951709795e-07
0.195,-8.75588639290708e-06,9.59810513578322e-07
0.1955,-8.83393609853363e-06,9.70656434793554e-07
0.196,-8.91238892991333e-06,9.81579933364162e-07
0.1965,-8.99124438124162e-06,9.92581225968223e-07
0.197,-9.07050192214719e-06,1.0036605279444e-06
0.1975,-9.15016099760744e-06,1.01481805328547e-06
0.198,-9.23022102785316e-06,1.02605401463376e-06
0.1985,-9.31068140829126e-06,1.03736862327135e-06
0.199,-9.39154150941691e-06,1.04876208912263e-06
0.1995,-9.47280067672828e-06,1.0602346207371e-06
0.2,-9.55445823065154e-06,1.07178642528993e-06
0.2005,-9.6365134664533e-06,1.08341770858356e-06
0.201,-9.71896565416796e-06,1.09512867502262e-06
0.2015,-9.80181403851356e-06,1.10691952762855e-06
0.202,-9.88505783882057e-06,1.11879046802212e-06
0.2025,-9.9686962489525e-06,1.13074169642124e-06
0.203,-1.00527284372372e-05,1.14277341164078e-06
0.2035,-1.01371535463883e-05,1.15488581107623e-06
0.204,-1.02219706934376e-05,1.16707909070951e-06
0.2045,-1.03071789696655e-05,1.17935344509914e-06
0.205,-1.0392777440529e-05,1.1917090673715e-06
0.2055,-1.04787651456003e-05,1.20414614922673e-06
0.206,-1.05651410984946e-05,1.21666488092058e-06
0.2065,-1.06519042868104e-05,1.22926545126942e-06
0.207,-1.07390536720641e-05,1.24194804764295e-06
